abserr, f-l, errest, nofun, flag
1, 1.52194e-010, 2.30636e-014, 33, 0
0.1, 1.52194e-010, 2.30636e-014, 33, 0
0.01, 1.52194e-010, 2.30636e-014, 33, 0
0.001, 1.52194e-010, 2.30636e-014, 33, 0
0.0001, 1.52194e-010, 2.30636e-014, 33, 0
1e-005, 1.52194e-010, 2.30636e-014, 33, 0
1e-006, 1.52194e-010, 2.30636e-014, 33, 0
1e-007, 1.52194e-010, 2.30636e-014, 33, 0
1e-008, 1.52194e-010, 2.30636e-014, 33, 0
1e-009, 1.52194e-010, 2.30636e-014, 33, 0
1e-010, 1.52194e-010, 2.30636e-014, 33, 0
1e-011, 1.52194e-010, 2.30636e-014, 33, 0
1e-012, 1.52194e-010, 2.30636e-014, 33, 0
1e-013, 1.52194e-010, 2.30636e-014, 33, 0
1e-014, 1.52196e-010, 2.2275e-017, 65, 0
1e-015, 1.52196e-010, 2.2275e-017, 65, 0
1e-016, 1.52196e-010, 2.2275e-017, 65, 0
1e-017, 1.52196e-010, 2.2275e-017, 65, 0
1e-018, 1.52196e-010, 6.98637e-019, 129, 0
1e-019, 1.52196e-010, 5.52381e-019, 209, 0
1e-020, 1.52195e-010, 2.63685e-019, 1153, 0
1e-021, 1.52196e-010, 1.87397e-019, 3809, 2.0625
1e-022, 1.52196e-010, 4.17069e-019, 4481, 40.9764
1e-023, 1.52196e-010, 4.74441e-019, 4481, 40.9941
1e-024, 1.52195e-010, 4.77254e-019, 4497, 42.9984
1e-025, 1.52195e-010, 4.77326e-019, 4513, 44.9995
1e-026, 1.52195e-010, 4.77259e-019, 4529, 46.9998
1e-027, 1.52195e-010, 4.77263e-019, 4561, 50.9999
1e-028, 1.52195e-010, 4.77263e-019, 4561, 51
1e-029, 1.52195e-010, 4.77263e-019, 4593, 55
1e-030, 1.52195e-010, 4.77263e-019, 4561, 67
1e-031, 1.52195e-010, 4.77263e-019, 4577, 179
1e-032, 1.52195e-010, 4.77263e-019, 4577, 245
1e-033, 1.52195e-010, 4.77263e-019, 4577, 271
1e-034, 1.52195e-010, 4.77263e-019, 4609, 277