abserr, nofun, flag
1, 33, 0
0.1, 33, 0
0.01, 33, 0
0.001, 33, 0
0.0001, 33, 0
1e-005, 33, 0
1e-006, 33, 0
1e-007, 33, 0
1e-008, 33, 0
1e-009, 33, 0
1e-010, 33, 0
1e-011, 33, 0
1e-012, 33, 0
1e-013, 33, 0
1e-014, 49, 0
1e-015, 65, 0
1e-016, 65, 0
1e-017, 81, 0
1e-018, 129, 0
1e-019, 129, 0
1e-020, 273, 0
1e-021, 433, 0
1e-022, 1025, 0
1e-023, 3217, 0
1e-024, 4081, 8.99414
1e-025, 4129, 14.9996
1e-026, 4161, 18.9999
1e-027, 4193, 23
1e-028, 4193, 135
1e-029, 4241, 216
1e-030, 4209, 231
1e-031, 4209, 231
1e-032, 4193, 234
1e-033, 4193, 234
1e-034, 4193, 234